*-------------------------------------------------------------------------------------------
* system regs
*-------------------------------------------------------------------------------------------
* RegName           		RegAddr       RegMask      R     W     Description
*-------------------------------------------------------------------------------------------
OH_link2_I2CSndCnt        	0x40030202    ffffffff     1     0
OH_link2_RegRecCnt        	0x40030203    ffffffff     1     0
OH_link2_RegSndCnt        	0x40030204    ffffffff     1     0
OH_link2_Rst_ErrCnt       	0x40030205    ffffffff     0     1
OH_link2_Rst_I2CRecCnt    	0x40030206    ffffffff     0     1
OH_link2_Rst_I2CSndCnt    	0x40030207    ffffffff     0     1
OH_link2_Rst_RegRecCnt    	0x40030208    ffffffff     0     1
OH_link2_Rst_RegSndCnt    	0x40030209    ffffffff     0     1


ch1trackingdata0        	40020000      ffffffff     1     0
ch1trackingdata1        	40020001      ffffffff     1     0
ch1trackingdata2        	40020002      ffffffff     1     0
ch1trackingdata3        	40020003      ffffffff     1     0
ch1trackingdata4        	40020004      ffffffff     1     0
ch1trackingdata5        	40020005      ffffffff     1     0
ch1trackingdata6        	40020006      ffffffff     1     0
ch1trackingdata7        	40020007      ffffffff     1     0

ch2trackingdata0        	40020100      ffffffff     1     0
ch2trackingdata1        	40020101      ffffffff     1     0
ch2trackingdata2        	40020102      ffffffff     1     0
ch2trackingdata3        	40020103      ffffffff     1     0
ch2trackingdata4        	40020104      ffffffff     1     0
ch2trackingdata5        	40020105      ffffffff     1     0
ch2trackingdata6        	40020106      ffffffff     1     0
ch2trackingdata7        	40020107      ffffffff     1     0

ch3trackingdata0        	40020200      ffffffff     1     0
ch3trackingdata1        	40020201      ffffffff     1     0
ch3trackingdata2        	40020202      ffffffff     1     0
ch3trackingdata3        	40020203      ffffffff     1     0
ch3trackingdata4        	40020204      ffffffff     1     0
ch3trackingdata5        	40020205      ffffffff     1     0
ch3trackingdata6        	40020206      ffffffff     1     0
ch3trackingdata7        	40020207      ffffffff     1     0


* cms J8
vfat2_cms_j8_ctrl0              40010900      ffffffff     1     1
vfat2_cms_j8_ctrl1              40010901      ffffffff     1     1
vfat2_cms_j8_ipreampin          40010902      ffffffff     1     1
vfat2_cms_j8_ipreampfeed        40010903      ffffffff     1     1
